feature,cohens_d,effect_size,mw_p,significant,ctrl_median,pd_median
med_hold_std,0.339,small,0.0783,False,36.971,42.499
med_hand_L,0.286,small,0.1059,False,0.463,0.478
med_dir_RL,0.065,negligible,0.1401,False,0.175,0.181
med_long_gap_rate,0.008,negligible,0.1437,False,0.044,0.056
med_dir_LL,0.196,negligible,0.1443,False,0.213,0.221
med_hold_mean,0.27,small,0.2065,False,111.592,116.506
std_hand_S,0.196,negligible,0.2314,False,0.011,0.011
std_dir_SL,0.161,negligible,0.235,False,0.006,0.006
std_dir_RL,0.235,small,0.2534,False,0.007,0.007
med_dir_SS,0.067,negligible,0.2903,False,0.004,0.007
std_dir_RR,-0.075,negligible,0.3192,False,0.008,0.008
med_hand_R,-0.399,small,0.3381,False,0.365,0.364
med_active_kpm_mean,-0.108,negligible,0.403,False,120.665,111.514
std_flt_mean,0.149,negligible,0.4054,False,4.637,4.637
std_hold_mean,0.361,small,0.421,False,2.751,2.751
std_dir_LR,0.197,negligible,0.456,False,0.006,0.006
std_hold_std,0.317,small,0.4671,False,1.722,1.722
med_flt_mean,0.067,negligible,0.4942,False,197.897,207.865
med_lat_std,0.093,negligible,0.5255,False,133.014,134.901
med_dir_SL,-0.053,negligible,0.5488,False,0.075,0.073
std_lat_mean,0.134,negligible,0.5519,False,7.285,7.285
med_flt_std,0.08,negligible,0.5682,False,133.358,133.723
med_n_keys,-0.156,negligible,0.5757,False,7326.0,6001.0
std_hand_L,0.103,negligible,0.5953,False,0.01,0.01
std_dir_LS,0.131,negligible,0.6112,False,0.007,0.007
std_lat_std,0.029,negligible,0.6176,False,2.48,2.48
std_dir_SS,0.037,negligible,0.6273,False,0.002,0.002
std_flt_std,0.142,negligible,0.637,False,2.168,2.168
med_lat_mean,0.039,negligible,0.6391,False,276.865,307.056
med_dir_RR,-0.265,small,0.647,False,0.152,0.148
std_burst_count,0.056,negligible,0.6928,False,50.912,50.912
std_active_kpm_std,0.048,negligible,0.7238,False,4.233,4.233
std_active_kpm_mean,0.142,negligible,0.7479,False,5.807,5.807
std_dir_LL,0.168,negligible,0.7792,False,0.012,0.012
std_hand_R,0.002,negligible,0.8144,False,0.01,0.01
med_active_kpm_std,-0.002,negligible,0.8456,False,33.654,30.726
med_dir_LR,-0.216,small,0.8456,False,0.173,0.172
med_active_minutes,-0.096,negligible,0.8474,False,36.952,36.313
med_dir_LS,0.103,negligible,0.8839,False,0.097,0.091
std_n_keys,-0.079,negligible,0.9038,False,6443.953,6443.953
std_active_minutes,-0.063,negligible,0.9328,False,34.817,34.817
med_burst_count,-0.147,negligible,0.97,False,57.0,50.0
med_hand_S,0.121,negligible,0.9859,False,0.167,0.159
med_flt_neg_rate,0.0,negligible,1.0,False,0.0,0.0
std_long_gap_rate,-0.053,negligible,1.0,False,0.009,0.009
std_flt_neg_rate,0.0,negligible,1.0,False,0.0,0.0
